image_name,gsm,source,weft_count_autocorr,weft_count_fft,weft_count_direct,weft_count,weft_spacing_avg,weft_spacing_std,weft_spacing_cv,weft_confidence,warp_count_autocorr,warp_count_fft,warp_count_direct,warp_count,warp_spacing_avg,warp_spacing_std,warp_spacing_cv,warp_confidence,yarn_edge_density,yarn_component_count,yarn_avg_area,yarn_std_area,yarn_density_uniformity,weft_spacing_uniformity,weft_lines_detected,warp_spacing_uniformity,warp_lines_detected,texture_contrast,texture_homogeneity,texture_energy,texture_entropy,texture_lbp_mean,texture_lbp_std,freq_dc_component,freq_high_freq_energy,freq_low_freq_energy,freq_radial_peak,structure_gabor_0deg,structure_gabor_45deg,structure_gabor_90deg,structure_gabor_135deg,structure_dominant_orientation,structure_regularity,edge_gradient_mean,edge_gradient_std,edge_direction_mean,edge_direction_std,edge_laplacian_variance,color_r_mean,color_r_std,color_g_mean,color_g_std,color_b_mean,color_b_std,color_h_mean,color_h_std,color_s_mean,color_s_std,color_v_mean,color_v_std,color_l_mean,color_l_std,color_a_mean,color_a_std,color_b_lab_mean,color_b_lab_std,augmentation,original_image,split
fabricnet_0051_aug_1_sharpen.jpg,105,fabricnet,7.529411764705882,7.0,8,7.529411764705882,34.0,0.0,0.0,0.9484126264420402,16.0,16.0,11,16.0,16.0,0.0,0.0,0.8587793686725969,0.0481224060058593,175,233.4342857142857,396.8186703145457,0.3703818974391343,0.3528616068384302,80,0.3885896128949204,80,7.152,0.1552523152164965,0.080224673700286,4.828513132129226,173.48395538330078,89.79659403852622,16.792717594012245,800653.7522640624,520949.1887779879,1,69.54703140258789,158.4588279724121,52.41054916381836,153.82463455200195,45,0.6934370183775174,31.09720928526861,86.68973057782844,0.0520626841373309,1.5853840572259013,500.9578795641282,74.49541854858398,104.85168900878357,75.23024368286133,104.47117100603928,74.72257232666016,104.75767433978476,29.584381103515625,36.957525436762666,24.87548065185547,48.4726112914088,75.29495239257812,104.44164914450135,73.81464004516602,105.3390523459924,127.5337028503418,0.8411876858699889,128.30548477172852,0.6728096752972695,sharpen,fabricnet_0051.jpg,train
fabricnet_0051_aug_2_rotate_270.jpg,105,fabricnet,7.529411764705882,7.0,8,7.529411764705882,34.0,0.0,0.0,0.9484126264420402,16.0,16.0,11,16.0,16.0,0.0,0.0,0.8587793686725969,0.0481224060058593,175,233.4342857142857,396.8186703145457,0.3703818974391343,0.3528616068384302,80,0.3885896128949204,80,7.152,0.1552523152164965,0.080224673700286,4.828513132129226,173.48395538330078,89.79659403852622,16.792717594012245,800653.7522640624,520949.1887779879,1,69.54703140258789,158.4588279724121,52.41054916381836,153.82463455200195,45,0.6934370183775174,31.09720928526861,86.68973057782844,0.0520626841373309,1.5853840572259013,500.9578795641282,74.49541854858398,104.85168900878357,75.23024368286133,104.47117100603928,74.72257232666016,104.75767433978476,29.584381103515625,36.957525436762666,24.87548065185547,48.4726112914088,75.29495239257812,104.44164914450135,73.81464004516602,105.3390523459924,127.5337028503418,0.8411876858699889,128.30548477172852,0.6728096752972695,rotate_270,fabricnet_0051.jpg,train
fabricnet_0051_aug_3_brightness_down.jpg,105,fabricnet,7.529411764705882,7.0,8,7.529411764705882,34.0,0.0,0.0,0.9484126264420402,16.0,16.0,11,16.0,16.0,0.0,0.0,0.8587793686725969,0.0481224060058593,175,233.4342857142857,396.8186703145457,0.3703818974391343,0.3528616068384302,80,0.3885896128949204,80,7.152,0.1552523152164965,0.080224673700286,4.828513132129226,173.48395538330078,89.79659403852622,16.792717594012245,800653.7522640624,520949.1887779879,1,69.54703140258789,158.4588279724121,52.41054916381836,153.82463455200195,45,0.6934370183775174,31.09720928526861,86.68973057782844,0.0520626841373309,1.5853840572259013,500.9578795641282,74.49541854858398,104.85168900878357,75.23024368286133,104.47117100603928,74.72257232666016,104.75767433978476,29.584381103515625,36.957525436762666,24.87548065185547,48.4726112914088,75.29495239257812,104.44164914450135,73.81464004516602,105.3390523459924,127.5337028503418,0.8411876858699889,128.30548477172852,0.6728096752972695,brightness_down,fabricnet_0051.jpg,train
fabricnet_0051_aug_4_slight_blur.jpg,105,fabricnet,7.529411764705882,7.0,8,7.529411764705882,34.0,0.0,0.0,0.9484126264420402,16.0,16.0,11,16.0,16.0,0.0,0.0,0.8587793686725969,0.0481224060058593,175,233.4342857142857,396.8186703145457,0.3703818974391343,0.3528616068384302,80,0.3885896128949204,80,7.152,0.1552523152164965,0.080224673700286,4.828513132129226,173.48395538330078,89.79659403852622,16.792717594012245,800653.7522640624,520949.1887779879,1,69.54703140258789,158.4588279724121,52.41054916381836,153.82463455200195,45,0.6934370183775174,31.09720928526861,86.68973057782844,0.0520626841373309,1.5853840572259013,500.9578795641282,74.49541854858398,104.85168900878357,75.23024368286133,104.47117100603928,74.72257232666016,104.75767433978476,29.584381103515625,36.957525436762666,24.87548065185547,48.4726112914088,75.29495239257812,104.44164914450135,73.81464004516602,105.3390523459924,127.5337028503418,0.8411876858699889,128.30548477172852,0.6728096752972695,slight_blur,fabricnet_0051.jpg,train
fabricnet_0051_aug_5_gamma_correction.jpg,105,fabricnet,7.529411764705882,7.0,8,7.529411764705882,34.0,0.0,0.0,0.9484126264420402,16.0,16.0,11,16.0,16.0,0.0,0.0,0.8587793686725969,0.0481224060058593,175,233.4342857142857,396.8186703145457,0.3703818974391343,0.3528616068384302,80,0.3885896128949204,80,7.152,0.1552523152164965,0.080224673700286,4.828513132129226,173.48395538330078,89.79659403852622,16.792717594012245,800653.7522640624,520949.1887779879,1,69.54703140258789,158.4588279724121,52.41054916381836,153.82463455200195,45,0.6934370183775174,31.09720928526861,86.68973057782844,0.0520626841373309,1.5853840572259013,500.9578795641282,74.49541854858398,104.85168900878357,75.23024368286133,104.47117100603928,74.72257232666016,104.75767433978476,29.584381103515625,36.957525436762666,24.87548065185547,48.4726112914088,75.29495239257812,104.44164914450135,73.81464004516602,105.3390523459924,127.5337028503418,0.8411876858699889,128.30548477172852,0.6728096752972695,gamma_correction,fabricnet_0051.jpg,train
fabricnet_0048.jpg,105,fabricnet,7.529411764705882,8.0,8,8.0,34.0,0.6236095644623235,0.0184318097816159,0.972493723765629,16.0,16.0,11,16.0,16.0,0.2357022603955158,0.0148864585418937,0.8587793686725969,0.1107559204101562,64,1402.046875,3522.8770177480983,0.2846839678216455,0.320518290036502,595,0.3877784388140007,414,7.293,0.1222769834139824,0.0774294703733176,5.059652841975891,170.44798278808594,91.35868943897204,16.828748116059877,882809.9733879375,552592.1529531594,1,75.41334533691406,167.11365127563477,57.57408905029297,159.90678787231445,45,0.7012962995822504,40.97830515032753,88.1841265414403,0.053283880399638,1.5971439933006162,599.6683456551837,77.21359252929688,103.71758351261502,77.94372177124023,103.35840844823235,77.61426544189453,103.57528589717832,31.808937072753903,40.20152331935448,24.80354690551757,50.36455591803697,78.13396072387695,103.2826386503742,76.88998794555664,104.14962767393646,127.5889129638672,0.8268010141414066,128.17125701904297,0.809064409054575,original,fabricnet_0048.jpg,train
fabricnet_0048_aug_1_brightness_up.jpg,105,fabricnet,7.529411764705882,8.0,8,8.0,34.0,0.6236095644623235,0.0184318097816159,0.972493723765629,16.0,16.0,11,16.0,16.0,0.2357022603955158,0.0148864585418937,0.8587793686725969,0.1107559204101562,64,1402.046875,3522.8770177480983,0.2846839678216455,0.320518290036502,595,0.3877784388140007,414,7.293,0.1222769834139824,0.0774294703733176,5.059652841975891,170.44798278808594,91.35868943897204,16.828748116059877,882809.9733879375,552592.1529531594,1,75.41334533691406,167.11365127563477,57.57408905029297,159.90678787231445,45,0.7012962995822504,40.97830515032753,88.1841265414403,0.053283880399638,1.5971439933006162,599.6683456551837,77.21359252929688,103.71758351261502,77.94372177124023,103.35840844823235,77.61426544189453,103.57528589717832,31.808937072753903,40.20152331935448,24.80354690551757,50.36455591803697,78.13396072387695,103.2826386503742,76.88998794555664,104.14962767393646,127.5889129638672,0.8268010141414066,128.17125701904297,0.809064409054575,brightness_up,fabricnet_0048.jpg,train
fabricnet_0048_aug_2_contrast_up.jpg,105,fabricnet,7.529411764705882,8.0,8,8.0,34.0,0.6236095644623235,0.0184318097816159,0.972493723765629,16.0,16.0,11,16.0,16.0,0.2357022603955158,0.0148864585418937,0.8587793686725969,0.1107559204101562,64,1402.046875,3522.8770177480983,0.2846839678216455,0.320518290036502,595,0.3877784388140007,414,7.293,0.1222769834139824,0.0774294703733176,5.059652841975891,170.44798278808594,91.35868943897204,16.828748116059877,882809.9733879375,552592.1529531594,1,75.41334533691406,167.11365127563477,57.57408905029297,159.90678787231445,45,0.7012962995822504,40.97830515032753,88.1841265414403,0.053283880399638,1.5971439933006162,599.6683456551837,77.21359252929688,103.71758351261502,77.94372177124023,103.35840844823235,77.61426544189453,103.57528589717832,31.808937072753903,40.20152331935448,24.80354690551757,50.36455591803697,78.13396072387695,103.2826386503742,76.88998794555664,104.14962767393646,127.5889129638672,0.8268010141414066,128.17125701904297,0.809064409054575,contrast_up,fabricnet_0048.jpg,train
