image_name,gsm,source,weft_count_autocorr,weft_count_fft,weft_count_direct,weft_count,weft_spacing_avg,weft_spacing_std,weft_spacing_cv,weft_confidence,warp_count_autocorr,warp_count_fft,warp_count_direct,warp_count,warp_spacing_avg,warp_spacing_std,warp_spacing_cv,warp_confidence,yarn_edge_density,yarn_component_count,yarn_avg_area,yarn_std_area,yarn_density_uniformity,weft_spacing_uniformity,weft_lines_detected,warp_spacing_uniformity,warp_lines_detected,texture_contrast,texture_homogeneity,texture_energy,texture_entropy,texture_lbp_mean,texture_lbp_std,freq_dc_component,freq_high_freq_energy,freq_low_freq_energy,freq_radial_peak,structure_gabor_0deg,structure_gabor_45deg,structure_gabor_90deg,structure_gabor_135deg,structure_dominant_orientation,structure_regularity,edge_gradient_mean,edge_gradient_std,edge_direction_mean,edge_direction_std,edge_laplacian_variance,color_r_mean,color_r_std,color_g_mean,color_g_std,color_b_mean,color_b_std,color_h_mean,color_h_std,color_s_mean,color_s_std,color_v_mean,color_v_std,color_l_mean,color_l_std,color_a_mean,color_a_std,color_b_lab_mean,color_b_lab_std
fabricnet_0047.jpg,105,fabricnet,7.529411764705882,7.0,8,7.529411764705882,34.0,0.2357022603955158,0.0068986027412642,0.9484126264420402,16.0,17.0,14,16.0,16.0,0.4714045207910317,0.0300896502440511,0.9262606391422872,0.0311698913574218,140,190.12142857142857,343.2610307843028,0.3564448459882058,0.2555228930165527,29,0.3976153557936514,25,7.02,0.1727387443783668,0.0836966606439091,4.640280326448595,175.75113677978516,89.14884158297512,16.768695651804766,786771.3292158579,510530.933340484,1,65.52097702026367,149.9438934326172,47.62443161010742,147.52165985107422,45,0.6881453619546859,27.572362559732937,83.60331277734927,0.0416224599732992,1.5836613370394437,466.7384985672397,72.74648666381836,105.66514262069629,73.44928741455078,105.29501441801658,72.94643020629883,105.57294836052822,28.36504364013672,36.43525071251149,25.464523315429688,49.64509663977035,73.49798965454102,105.27125651694412,71.91887664794922,106.17099089522348,127.54516220092772,0.840654869719056,128.31416702270508,0.6442504907888983
gsm_manual_0136.jpg,135,manual_collection,0.0,0.0,7,7.0,0.0,0.0,0.0,0.5,10.24,10.0,6,10.0,25.0,0.0,0.0,0.818108903369649,0.1582984924316406,6,21119.0,47082.208012510775,0.3096572717030592,0.3988746718747896,1126,0.3501273416736611,889,7.76,0.0980402350027544,0.0655085451435297,6.113911832504648,161.81552505493164,87.67928797199836,17.59266578105396,812160.5888496889,558763.2670597209,1,87.58248901367188,251.2370376586914,69.0508041381836,252.61288833618164,135,0.6547911467441657,54.50866542311567,65.6667172657636,0.0699290881515918,1.6305544982069824,252.7294672880671,167.39598846435547,57.93404736224514,170.99055099487305,56.13607446358705,142.49628448486328,70.3704800655043,25.46692276000977,14.6714911283383,53.7807731628418,36.06543698589099,171.04434204101562,56.11504823157016,174.4701690673828,54.30635935889202,121.70750427246094,3.913672926515268,142.8075408935547,8.84909921429609
fabricnet_0018.jpg,85,fabricnet,5.7,8.0,8,8.0,30.0,13.67073110293992,0.3446402798191643,0.8696456761184841,6.410268270120259,5.0,6,6.0,46.5,0.5,0.0107526881697306,0.9073938540180442,0.1117210388183593,69,1306.0289855072465,6235.647664538246,0.1731748848590103,0.401088309532756,494,0.3274117901389499,438,7.754,0.0906800310494979,0.0655325416300911,6.446108054160893,163.98307037353516,94.66281821213812,17.663399013980616,923287.221277727,580165.8637174421,1,68.94290161132812,250.38010787963867,87.40326309204102,250.99760818481445,135,0.655271320419813,58.612208184109775,79.72942848168407,-0.0306282648547134,1.55016450667827,445.6963242627098,176.02725219726562,60.42695095810424,180.38917541503903,60.83136096323504,178.7308578491211,61.60963124324711,51.82661819458008,41.39535292116214,11.92477035522461,16.57517289017433,181.2894821166992,60.17793599959212,184.45769500732425,58.74785577108074,126.18044662475586,2.660072597939308,128.33733749389648,1.6037189037340869
fabricnet_0095.jpg,95,fabricnet,4.671232876712328,3.0,8,8.0,73.0,0.0,0.0,0.7153817771183806,4.950210084033614,7.0,14,7.0,51.5,16.5,0.3203883494523518,0.6906523455715624,0.1629829406738281,10,12962.4,38661.55654445382,0.2510927264717778,0.3981028605821296,1147,0.402712923346005,822,7.69,0.0759791873417486,0.0659935229341499,6.488732233483359,163.16809844970703,93.9908135282446,17.705222860301983,964368.5548903344,602687.9273791857,1,82.28445053100586,246.3846549987793,75.70128631591797,249.0358009338379,135,0.6593468138366507,70.5562195060984,97.61969341130518,-0.046059740520875,1.5827387507713633,812.3392105093226,179.78492736816406,66.82494008496548,188.83311080932617,64.55291859420092,192.38526153564453,63.53635425833587,70.28767395019531,43.4522135642416,24.35762023925781,36.20789010792669,192.6097717285156,63.43591905576333,191.61391830444336,63.53624580154609,125.6560173034668,2.3273212029881747,125.09761428833008,3.609986434856047
gsm_manual_0161.jpg,297,manual_collection,5.757422969187675,5.0,9,5.757422969187675,51.75,0.75,0.0144927536203878,0.7914988619259938,0.0,4.0,15,9.5,0.0,0.0,0.0,0.6333333335777778,0.2418899536132812,1,176884.0,0.0,1.0,0.3884321277818908,1181,0.3351760605049632,600,7.742,0.0552133296853579,0.0646317935315892,6.475473957922967,160.16646575927734,94.07328070047885,17.410110925514502,945381.5439610071,617113.257082716,1,85.60318756103516,215.66081619262692,87.82043838500977,213.91662979125977,45,0.7018283594126974,101.92752001038043,105.8296370988944,-0.0019802516389972,1.584403546985402,865.8936842298135,143.4435997009277,76.27343375203189,137.8342628479004,79.45300425515576,132.1341209411621,81.8797034260436,11.849349975585938,11.266599239680351,35.347801208496094,34.519726936160765,143.44769287109375,76.27407368747093,143.1912612915039,77.89393031823522,129.25238800048828,1.6679636100162478,132.0680389404297,2.8888114939546914
fabricnet_0067.jpg,120,fabricnet,11.0,25.0,19,19.0,31.0,0.0,0.0,0.7617237892618113,0.0,8.0,9,8.5,0.0,0.0,0.0,0.9444444445061728,0.1814079284667968,5,28696.6,57280.70653754193,0.3337694695922616,0.4020617345537622,1066,0.4454678542926219,869,7.63,0.0712648184058009,0.0694037481152918,5.804803780738085,164.9495391845703,100.37684070052516,17.008276959038948,969987.2411260896,582905.0444940979,1,57.98151016235352,196.47635650634768,90.20742416381836,197.02330017089844,135,0.684643489865179,74.83184606100333,105.97972333352884,-0.0274106615565805,1.4930762569225111,956.5533140198676,92.46149826049805,97.62119557179692,93.00193405151369,97.45692623139765,93.72959899902344,97.31779460471968,47.61911010742188,53.52566721564949,20.953929901123047,44.67154224556729,94.09032440185548,97.09310580486624,93.80569458007812,97.9320595571489,127.94668579101562,0.800673774740918,127.51898193359376,1.4239172665565312
gsm_manual_0134.jpg,173,manual_collection,5.879310344827586,5.0,10,5.879310344827586,58.0,0.0,0.0,0.7615208911459946,5.412698412698413,4.0,6,5.412698412698413,63.0,0.0,0.0,0.8595674375532559,0.1872634887695312,3,49340.66666666666,69713.18787878103,0.4144398923920366,0.3924654110045458,1244,0.4064169633058917,894,7.75,0.0849478052406688,0.0641460098559036,6.416287181094541,161.0872802734375,94.27727142380208,17.5583662528941,842455.8639210262,578007.6964053855,1,75.63995361328125,244.88643646240237,85.10149002075195,245.00225830078125,135,0.6638749105443117,64.06843902661487,71.82032810181192,-0.0394520625333623,1.5633028176997965,311.67999464295275,159.85833358764648,66.5743920801477,158.52886962890625,67.48101877474173,177.53798294067383,58.14020324091035,92.28052520751952,52.8173287340862,36.08115768432617,27.65471479357217,177.53800582885742,58.14015145803141,165.86927032470703,64.294105498514,132.70687866210938,3.277111273552053,117.87749862670898,6.702627911654259
gsm_manual_0149.jpg,100,manual_collection,0.0,0.0,20,20.0,0.0,0.0,0.0,0.5,6.146258503401361,5.0,10,6.146258503401361,48.5,0.5,0.0103092783483898,0.7672175333569224,0.0279960632324218,11,2072.3636363636365,5143.113600158198,0.2872108896527724,0.1090517242586352,104,0.4103856921943184,102,7.367,0.1844120907878371,0.0714761003619059,5.639350734086372,169.10345458984375,94.65478906040474,17.5851963819337,755329.7013006399,514205.20312339766,1,31.833988189697266,252.14699172973636,60.96681594848633,252.93002700805664,135,0.5906663613326743,26.29079399974352,76.34540534852654,0.0330776516200011,1.5335312623541226,375.97253396733134,164.5616111755371,61.687029740506354,166.18241500854492,61.30298201063509,163.72688674926758,58.89612796202413,39.10195159912109,36.297679364639215,16.075218200683594,23.80161169409429,168.40857315063477,57.75837953132713,171.34661865234375,59.39943187078357,127.1299285888672,2.591555212175116,128.86879348754883,5.126314376878613
fabricnet_0128.jpg,180,fabricnet,0.0,0.0,15,15.0,0.0,0.0,0.0,0.5,6.320987654320987,6.0,11,6.320987654320987,40.5,1.6499158227686108,0.0410767424653405,0.7728229747158453,0.1237907409667968,57,1755.5438596491229,11287.335422934446,0.134597876866191,0.4796364622461747,524,0.4406567598721914,472,7.73,0.1171145774463836,0.0692946931230835,5.698167167058205,162.96227645874023,98.11411589404712,17.776670886342888,924447.7787725437,565131.538303109,1,52.983375549316406,254.97605514526367,83.68440628051758,254.9649429321289,45,0.6324429336110053,45.140642402257946,57.26549497402315,0.0096312123187284,1.5380563014936277,348.2600524359732,196.9950065612793,38.96657295973012,202.5770492553711,36.50399004717697,197.3842620849609,38.72815233710433,45.77968978881836,27.281729847073315,8.447319030761719,6.238562066797195,202.57735443115237,36.50376618730471,206.02854537963867,34.18378007836063,125.05569076538086,2.133890712428085,129.90586471557617,1.5085789113181023
fabricnet_0072.jpg,142,fabricnet,7.75,0.0,10,8.875,44.0,0.0,0.0,0.8875000001125,6.351063829787234,5.0,11,6.351063829787234,47.0,0.0,0.0,0.7435318664135789,0.1503067016601562,34,3475.4117647058824,19565.729222467544,0.150835054854665,0.4267830609177769,824,0.4289440855328473,663,7.72,0.1003029244433662,0.0692762111139018,5.801198357067927,161.94452285766602,98.62260703305252,17.75862330964577,955497.271703192,578353.3724372691,1,59.44785690307617,254.8674430847168,83.40206527709961,254.97013092041016,135,0.6391156131612895,53.79407852196475,70.17176183873248,-0.0046551942645248,1.4933593688616158,575.5008025142452,194.5672874450684,41.417569258982205,198.23136520385745,39.75737614692399,194.66981887817383,41.25805919053524,44.40761184692383,27.501842121592997,6.1387481689453125,5.024665059024327,198.23776626586917,39.751591453431146,202.36258697509768,37.20086327792006,126.03299713134766,1.6158784882942778,129.23212432861328,1.1256393897745085
